F,b,bootstrap_num,c,t1
176.73159821553378,-17.971145784583634,0,-2.2431833596513293,-58.567939152346355
158.6889158076691,-17.54119865978264,1,-2.2225871755429893,-37.13202339751311
157.8185509869631,-11.109337252226368,2,-2.2170987866069303,-37.44353446577952
157.76253895294423,-18.261918633861946,3,-2.2293272007806175,-38.774027430342045
159.81471688006047,-14.427924117978252,4,-2.2459591320160066,-37.57519238838239
182.66512440046301,-19.91906442502971,5,-2.3816440685696993,-58.88018207577778
159.8099608788727,-19.406811428802552,6,-2.2552452189210093,-37.682833077840826
160.3964003552246,-17.284487141634557,7,-2.154574463403991,-39.59058209093919
152.41251680461335,-18.06516524408708,8,-2.350368938037084,-37.79246967698654
159.71366183160944,-10.180616734232707,9,-2.1934990046418634,-37.757311137730966
162.68650360098363,-15.542598027914684,10,-2.230211143072208,-37.79606126449261
184.72401022200526,-16.211990712675576,11,-2.2197998013643527,-60.00675320397042
159.23798643703404,-17.349013821853223,12,-2.133836953954887,-37.839947302055805
166.64278155658994,-14.272364242687406,13,-2.216837904866681,-37.06393989178349
160.7252924425051,-17.03398116682867,14,-2.2245875590786115,-37.61141402354349
168.82947583759974,-16.932033475092403,15,-2.329129023572846,-37.96124979357148
162.63334501564975,-15.793062413690134,16,-2.2193995970037514,-37.398061943652266
157.77794748601045,-11.836447365923068,17,-2.2156742920076966,-38.18607232657911
161.61887848332893,-15.994069966721916,18,-2.2115623722449795,-37.896771845052655
161.9239808522299,-10.943204301642103,19,-2.2352309717033836,-38.312349131192775
157.42905002811926,-18.979564008268348,20,-2.189374646234943,-37.317662786693944
161.02617428403386,-7.6930193981197785,21,-2.20720073443042,-37.38069814001429
162.41254774726494,-14.356217821125501,22,-2.150814660081335,-37.01059395422783
158.8749561769862,-19.583407051699353,23,-2.2714194514441735,-37.11306733418493
164.63408813167248,-16.307242251018636,24,-2.1995842901386284,-37.76877540243859
160.60809462837986,-14.842176005584356,25,-2.1959830129700206,-37.995312696066264
183.88142721551645,-18.281005758300566,26,-2.2704005449807383,-61.84130971757506
156.47297988697022,-14.001825132774002,27,-2.1519351105004523,-37.982298929152876
164.97857016115256,-15.646511403368066,28,-2.2724589317260957,-37.043565348131864
160.67075585837017,-14.881018503518746,29,-2.2174163395674293,-38.73527772328791
158.4727810264908,-16.72212712492399,30,-2.1508840441895383,-38.95991764379721
101.36826602289297,-16.421473521110705,31,6.885787079560002,-66.26982910219394
158.899828622536,-11.348446418566375,32,-2.2260795110555898,-37.388149399730565
162.53452428920968,-18.352034134597456,33,-2.1948281816527357,-38.95277707644843
150.8129242342904,-14.750142355183097,34,-2.2443882980849206,-37.07905620518247
160.77466826072907,-10.633498941628856,35,-2.1994132763178795,-37.639257684730495
155.80085762393213,-11.11163827647467,36,-2.2172229087451423,-37.611571155319325
160.87167378342554,-15.797160288002157,37,-2.257967724714771,-37.11954291323423
164.03086323835916,-5.890857941433403,38,-2.168184069255241,-37.52960326057189
162.7220879417537,-13.20246406720151,39,-2.20416183039136,-37.534586737152495
166.54676708230886,-17.425859621997553,40,-2.2071408430537565,-37.94089779006046
158.6450674822814,-9.713717826023291,41,-2.1619592055115766,-37.72352587785383
180.6659217828722,-18.598782349617228,42,-2.219637049548245,-60.42474500605667
179.95137825527596,-11.20815375725206,43,-2.2378539138381393,-60.7021053693465
158.96274669912117,-15.995525896979718,44,-2.267521398646349,-37.81706468930352
161.08171121103118,-16.152675380888855,45,-2.2710080354557904,-38.079847359651296
157.73584494282494,-12.13660362057966,46,-2.216593772193237,-38.3183043456892
163.89541339457065,-19.9108490207787,47,-2.2742401101995267,-37.1343452568851
156.49575487486112,-12.118492571076997,48,-2.1397737027742894,-37.57548585133017
163.78455913260535,-19.184460133719877,49,-2.2373381235283984,-37.28739135168121
