F,b,bootstrap_num,c,t1
110.3734531576353,-18.64849383732686,0,6.28811759829494,-66.017998400116
114.64466600380878,-16.3210761140977,1,6.270919186738588,-66.01468206778347
123.47428971893689,-15.762737992849658,2,6.286611311671675,-63.966567005255655
109.92403623880418,-16.30524748671371,3,6.250259813964531,-65.0539373589503
91.63950555669462,-12.192597234539633,4,9.466268809262601,-66.21342956138656
162.4891212766768,-19.749313768628483,5,1.0517470614255675,-63.94695602553273
122.65312629370922,-13.022120008123872,6,6.332067170114208,-66.0830084800456
121.50560049095631,-17.172100798099013,7,6.2839566431673095,-66.0266688896337
110.6078019189775,-7.356588260838657,8,6.1299508719976465,-65.00024167455504
127.51492023719915,-15.59573070430381,9,6.287837582402444,-66.47380094123125
129.8982774664118,-13.74512330413312,10,6.230670261542315,-66.69301903005555
135.7210578011937,-13.490080378317826,11,6.261319251959396,-66.46144074460983
126.78515127373052,-6.2484790278071545,12,6.267998981991186,-63.40508482012794
112.4963175990702,-18.509918692861113,13,6.279801429061704,-66.54998194458224
149.52105797084084,-17.401019955826513,14,1.037291098316917,-62.467469677375874
123.80362314113282,-19.179523535156715,15,6.339096166643476,-66.06657715037758
118.706867866952,-13.07432761698892,16,6.148259240667042,-66.9012283524246
120.69420283653002,-18.284897303350885,17,6.344697017787071,-66.17462483496959
119.4074598854024,-11.541783232712978,18,6.276398381055747,-66.49737275464966
132.45374157833243,-17.571152096684102,19,6.287661019840174,-65.60361553910312
132.89130235983666,-19.41507670371364,20,6.2551566501577565,-65.33564331141963
111.18649984811628,-17.907490014123304,21,6.3414266273457915,-66.2450950499261
111.50910300222061,-16.35933771830623,22,6.284031948713686,-66.29065937535597
120.3389926096992,-11.124489096309627,23,6.272752234530721,-66.45899891161568
112.24344656382749,-10.39572042220959,24,6.287936483665213,-66.39674786423265
127.59432305531438,-12.666284370046878,25,6.2636996638893105,-66.13064886061844
128.37220340150625,-11.264931097977275,26,6.185462853173574,-66.31264857683416
124.26472798934196,-11.210525494422724,27,6.199887755855304,-66.38219781924653
123.80040793734082,-16.69496866148657,28,6.249579668785287,-64.75527253250505
108.59847828350304,-10.001890210720498,29,6.256722178594787,-66.67165112892371
113.33375296378556,-15.5629683920826,30,6.366813849328756,-66.19653734468449
119.76207203722274,-16.876927477117103,31,6.346188880877546,-66.02636665090259
115.36295615114697,-19.97364258368153,32,6.281317737908942,-66.6223589691767
118.28168716921179,-9.056203326068822,33,6.27531553962859,-63.36491451497423
117.16697157366715,-19.623188233926477,34,6.322614746321209,-66.29971952384113
125.61428894383295,-9.670140968705557,35,6.249457703732652,-63.21129548676686
84.8021240306576,-17.451088779403577,36,9.609498974668707,-66.11927924800446
110.12095523008125,-15.513363805059427,37,6.309730137387337,-66.27150506040635
120.32928634372652,-8.859357575669815,38,6.181689468865392,-64.05614139629117
117.48463155994133,-16.318174705495153,39,6.285821965960903,-66.761354365839
122.47763698496297,-17.454783207845868,40,6.286137597732456,-62.590156038395634
129.36828643197845,-17.84091786192535,41,6.291393779784926,-66.63501602381254
111.43016461543924,-10.053888420342187,42,6.2706264300171455,-63.52896884666086
100.45038654140743,-18.481063632756353,43,8.956976803239092,-66.57451998101101
61.87025753540192,-7.765281967880302,44,9.308244155663537,-66.39906046069896
118.49421091288421,-13.697980802721872,45,6.278434666848276,-66.06846325367005
109.8369927644796,-7.97606767208584,46,6.01462687973946,-65.28948775058291
120.76443562690108,-15.505684555403924,47,6.339683344120273,-66.86054832523149
111.61318239880644,-7.486953204522697,48,6.03767940600296,-64.28835982476019
115.43414073123554,-13.523588788057555,49,6.192196250036508,-66.37690818357194
