F,b,bootstrap_num,c,t1
154.60627436045766,-13.17967996248385,0,-3.01037886441316,-48.416781140802954
149.35497962712174,-9.76309440374423,1,-2.959517525254646,-43.64266857416513
160.35404807041232,-9.483834395586491,2,-2.957132371162585,-49.07225015550753
109.11216106312476,-8.702400948826412,3,-2.9125508859342175,-1.1352228473542425
161.51460353665436,-9.082749445789563,4,-2.9711489744683908,-58.59269824845251
153.7689570585991,-16.05524526351683,5,-3.0242812370374903,-47.31637795653438
145.91944831196116,-13.7800265810936,6,-0.44784184995112497,-51.123913430244926
156.91455154180454,-16.384711199894504,7,-3.0523733589294277,-58.34219624242971
153.7910519823082,-19.27532444845831,8,-3.0359677079454803,-48.175861410456974
155.40725913214925,-19.87174287055389,9,-2.965343760265199,-53.69653490307286
162.81190824372186,-16.83100338787095,10,-3.0299162471032037,-61.470866752274446
164.69073294417558,-14.86477772527568,11,-3.028890750957125,-53.55324606189487
145.9603534289836,-19.845036709365985,12,-3.0779326821807675,-43.414656397768425
169.60248977933014,-14.199251815045642,13,-3.0067197156509904,-61.713873983937816
154.60785387117573,-12.374852220243731,14,-3.004637007153171,-50.847172883283406
156.58330537893363,-12.674933933361004,15,-3.00103756347615,-50.77307018992761
151.41796178102544,-8.255707622653459,16,-2.9464874443925035,-49.210535556238085
165.60123250674786,-16.461851704202267,17,-3.016073630266758,-58.307072147591896
152.7704729911439,-14.66183807192047,18,-2.8644196926717713,-44.5647600938739
152.6299204658186,-15.738604537146394,19,-3.0131673982388305,-45.5051119159769
157.7917236646165,-19.993496132173355,20,-3.047480750018894,-53.69975382281174
154.96512307311872,-5.971013768553979,21,-2.842042591037919,-48.557466234338904
145.41209466326032,-15.682424047101637,22,-0.4139625490722165,-58.085372016969984
159.56739170453477,-13.430384748654234,23,-3.007698885994076,-56.447330922881235
159.27905334342574,-11.888831326323606,24,-2.956229689500889,-57.80916500212513
170.6823581908007,-16.361416821206006,25,-3.0138676338939687,-64.18925532701581
170.23538052621103,-13.395702471843347,26,-2.9400201247880897,-61.120561044267106
148.8692792677343,-19.064605567754676,27,-3.0601164369839893,-43.03394338429126
160.6266784427308,-14.86515654339164,28,-2.992751466506416,-49.16899777880468
161.689097611836,-17.93098451326981,29,-3.0265151777823296,-56.85743801691075
152.79029230062264,-15.476500778766978,30,-3.045761989124313,-44.84147530076066
155.60801695281603,-9.266357960167968,31,-2.9843194594645297,-47.19318641893821
156.43323798588355,-12.836217699337762,32,-2.974552581937695,-51.25550669071487
162.9243516057855,-19.393619114811123,33,-3.0609427655152843,-56.714750072717635
168.68824306715413,-16.03246849414941,34,-3.022742551165308,-62.04946550837866
168.25502978210386,-13.609048276642167,35,-2.927650517652003,-64.17374515162618
155.75472250880836,-17.052232482546742,36,-2.968502081597424,-46.49975961118787
163.78679759427405,-18.634111820894837,37,-3.0372595340481814,-61.846808193657125
160.68946792339216,-13.498249560749368,38,-3.0270464845646106,-48.367854588155694
151.2370073077562,-8.78240189960958,39,-2.930736659215788,-47.33591417513591
158.55897363640452,-9.723165463244865,40,-2.9806670782539237,-50.152478086080436
159.39132457483038,-13.367805421420648,41,-2.9508157047215153,-55.178211064851155
154.5537817845416,-17.257971195857913,42,-2.9782741083494493,-48.66457085371158
169.4887195857559,-19.73902055041644,43,-2.997803373244412,-63.58396716179848
164.59383159176556,-9.791003305648609,44,-2.99625414681553,-56.515849829116036
165.69029363629673,-17.591002806099688,45,-2.985500302369287,-64.07916735771212
159.33815970971997,-10.557548834659327,46,-2.9513727963548564,-58.267619592201584
150.48056637481506,-12.243350515342854,47,-2.9663860236113724,-48.9466625847995
151.79055281074946,-17.48358323860951,48,-3.0375239968326975,-45.83397536199311
155.71453589113892,-18.613560062870455,49,-3.006023207361036,-57.38381587302561
