F,b,bootstrap_num,c,t1
121.67728214689879,-10.213998155822527,0,-2.163892998128125,-37.66636759041941
123.40702706233178,-11.70371481503529,1,-2.03327497572558,-37.85255254766295
119.45622096489748,-18.038912582780206,2,-2.134515815545468,-37.52718283447581
127.00734278402965,-14.60694387235644,3,-2.272363811100564,-37.64545656301985
126.8853588256349,-11.049098137775765,4,-2.233074755641895,-37.92490741340109
88.83712496254391,-11.77085245689984,5,-1.6231960320170047,19.0623574901703
128.00228708598289,-16.77816543934138,6,-2.281431781467097,-37.410606936517496
121.88575032838733,-17.012538192689767,7,-2.2450204802696607,-37.41541693801426
125.60348480234877,-12.201306769906507,8,-2.168679086163899,-37.09676657733178
124.24761628468477,-13.580361447172814,9,-2.2903151759294973,-37.87011542312291
123.72340093792292,-15.538828175631771,10,-2.22193859130998,-37.483319477009815
126.82497461138473,-15.69379415227215,11,-2.253274054555704,-37.08972919440123
125.71418092825948,-14.259468308650959,12,-2.1668205967119656,-37.703583414235965
123.27077874560955,-11.270680158668643,13,-2.1045718042604076,-37.006299813544246
121.3610175021099,-19.820829210601648,14,-2.35122475649871,-37.00549430680752
123.81266081856361,-18.72519965640417,15,-2.2562280656334313,-37.258783714289365
123.67366894621972,-15.788825094075502,16,-2.228668973714265,-37.78632898663122
126.01786660483481,-14.199031723147245,17,-2.2621943785099132,-37.209225804785035
125.09117495437383,-16.174884115434054,18,-2.2750749085285458,-37.62475697378335
116.72046317736462,-11.253054367481882,19,-1.7650693443529264,-37.14218830467388
7.528529161737822,-19.67515184210481,20,16.25251420893623,38.304915278690956
124.58653867811867,-9.010038755094957,21,-2.159122271435665,-37.156881911106154
126.95372357368234,-15.326208119573241,22,-2.233587728804065,-37.39032784266789
124.36359006856227,-12.273418213426288,23,-2.2833267187660047,-37.63202599017967
125.65554604214613,-11.62288003777626,24,-2.1754171577948513,-37.09883101663175
129.79945282313065,-18.58639396503292,25,-2.1812013313790404,-37.915342587058575
124.59281103976538,-8.111039233791164,26,-2.086481792630257,-39.99926157731974
80.79125307373701,-15.529163079088807,27,-1.6404493867478387,19.737598841029055
122.6520042275598,-19.55353100914582,28,-2.3749317929411595,-37.49544527043915
126.22763266060848,-8.935656411786919,29,-2.030933566644788,-37.518682163131245
90.61075534246885,-15.44338588318421,30,-1.6020358697646897,19.66063218081213
7.485432164479548,-15.111010223272173,31,16.280133970496202,48.56569945637264
126.88528604638812,-15.995593459688344,32,-2.3715519625665484,-37.65364151267531
121.58189793080788,-13.095538971784379,33,-2.1820522102313666,-37.128786789372214
123.56408921411301,-18.285476612502293,34,-2.2120615842453226,-37.43328402719442
126.38387282316587,-11.847618729472133,35,-2.1377047520443284,-37.94137222988047
128.71201060454837,-13.31297411314852,36,-2.1925862972622556,-37.873909259347414
83.71681191488878,-17.986463545334022,37,-1.627381477696116,20.14461485154152
122.79224213681843,-17.762530677938358,38,-2.25381602761332,-37.94390637410902
124.75132025581286,-14.02111046165479,39,-2.1995776831812694,-39.10780863232779
127.65721746113633,-14.17865424375984,40,-2.2128505293702805,-37.05375422750191
123.78710269199354,-9.943397016736986,41,-2.1939147992781463,-37.481835001740336
124.81320703132658,-15.033271876202477,42,-2.2417559221303565,-37.8166302471011
53.68283838562178,-17.48215545111522,43,6.859895372897151,-32.80393014908992
122.57256563119955,-16.86062831399516,44,-2.2075030153205,-37.37945486819049
125.71924885808295,-14.97920738072659,45,-2.2151560053356945,-37.02092287192369
121.31396929449703,-11.363811376492269,46,-2.1067262652468832,-37.64862350071948
121.65649977109838,-15.304020404630883,47,-2.2194149967971533,-37.568219371676435
7.3025297135119445,-19.347386357109468,48,16.297275773687204,61.406902520971585
130.67267466651236,-10.333527813457993,49,-2.184435808404456,-37.78236464503391
