F,b,bootstrap_num,c,t1
30.60754732388689,-17.409269788506386,0,13.26276079966825,-42.851648858506906
29.071126022515642,-17.555672373550053,1,13.32582201688497,-41.442011335954135
61.24936040773202,-5.495297225092337,2,10.003216322482999,-55.6129872421655
50.562076650935865,-13.848948758339859,3,10.184308799354048,-41.20182115462464
33.62393969586847,-15.98122096263517,4,13.317814629548142,-49.912590077251224
16.16314359157103,-18.694144515271418,5,16.86693895287363,-53.47125170863001
35.5139638429921,-15.09601156937629,6,13.326463332431404,-57.67287968766789
36.034279842087315,-11.346115301624103,7,13.28308423877218,-54.100834948651936
12.03366596210148,-12.36439885210746,8,16.85279068940804,-46.82553802827016
34.57196041798525,-13.701323452927246,9,13.33866754118037,-53.321850515756864
36.393659233674015,-18.302086504232797,10,13.292444225057242,-54.62941642321721
18.244522937403957,-17.112067573513023,11,15.04725642818997,-41.7009930673014
37.886774344101056,-10.848544332494342,12,13.287592744508437,-54.246174511168846
67.11960906444887,-5.549633201758404,13,9.881929485184514,-59.426109950429066
22.20998001687296,-11.565407007315576,14,14.535715634425106,-41.94932001058007
29.443032004263017,-18.509973892678126,15,13.298001464168374,-42.171539084035714
4.178882087212145,-5.1985336206067405,16,17.46567693504989,-37.76640927657314
8.283267661326391,-12.671369899293126,17,17.255975677313184,-41.3805476052643
11.679206280985014,-17.707095486728857,18,16.89781146365116,-46.610250931403385
12.370096475173312,-15.059654246594482,19,16.82665431976519,-47.243240370019095
11.645351164377686,-16.164065040189683,20,16.871554751506558,-46.40953519318282
34.0725669502569,-13.615790826504195,21,13.148813936526093,-52.88858473094953
50.73372654408005,-17.138009152527246,22,10.180521162464274,-41.76937245402388
32.05548248294599,-13.58680774360583,23,13.82662412970478,-54.83567458176944
11.42384637853381,-15.349267355755165,24,16.913181952584686,-46.75993414098164
16.017407298122492,-13.349449115008081,25,17.08239375603373,-66.73071517613926
13.00788341419819,-15.971999199630886,26,16.355642804017066,-41.4758658590502
16.41981668031987,-17.529137276838508,27,16.822651804933365,-53.98711696898138
34.67524440166983,-17.23766163431801,28,13.196507113613709,-49.93525581257927
55.33440746837093,-11.164055359441802,29,10.142930090422897,-48.69269278087393
11.745549267640811,-14.368037229489646,30,16.89560562057153,-46.031034897869176
12.340296765077227,-14.56910754643035,31,16.826807077842254,-46.87309376742928
34.44634321571779,-17.421752022299486,32,13.290688085944147,-49.46275204695294
34.607237834436134,-18.92993674913125,33,13.277989339309526,-49.96366438400662
8.99575663089746,-17.52138172924379,34,17.13478767145158,-44.357040846324026
21.8903844150594,-9.419478031081361,35,14.682854374436882,-48.391640977646745
11.877327255473716,-11.578242697821153,36,16.8766156330603,-46.525730876940514
50.76289707778558,-18.531278515792696,37,10.179300748880316,-42.849875457040866
34.622300419329434,-19.063189767037148,38,13.264465682639425,-49.62813095733026
60.82963245246855,-16.01362837962897,39,10.04531925567953,-54.541512238840625
16.343112884338268,-16.275814511945974,40,16.825988988601313,-53.50557395056728
11.860767971162772,-15.526138763644674,41,16.874781032465513,-46.90799294981329
37.8392696629306,-13.807248164973416,42,13.298502405234514,-54.856448521922175
36.58796258152197,-17.590066098171853,43,13.272661855106838,-54.09298380757406
11.870247355894165,-5.347001941050296,44,16.740376032004367,-45.20116102962666
13.121564049741409,-9.331378989287355,45,16.813871120861524,-42.51088979841188
11.906131357761822,-19.82073412527562,46,16.86017201035869,-46.61695079475399
29.570521905107057,-17.679600321864008,47,13.271255474471655,-42.742419769660756
16.50764756545378,-18.252001584596783,48,16.799058679803224,-53.357125105989326
7.180127241508586,-13.140223295459332,49,17.3053902589282,24.26845668876726
