Phenophase_ID,common_name,current_forecast_version,download_date,download_source,n_observations,observation_downloaded,observation_file,occurences_downloaded,range_map_made,species,season_start_doy,season_end_doy
371,Canadian serviceberry,3,2018-07-08,local,64,TRUE,amelanchier_canadensis_371.csv,no,no,amelanchier canadensis,-31,180
501,Canadian serviceberry,3,2018-07-08,local,58,TRUE,amelanchier_canadensis_501.csv,no,no,amelanchier canadensis,-31,180
498,Canadian serviceberry,3,2018-07-08,local,44,TRUE,amelanchier_canadensis_498.csv,no,no,amelanchier canadensis,180,320
371,Autumn Brilliance serviceberry,3,2018-07-08,local,65,TRUE,amelanchier_grandiflora-autumnbrilliance_371.csv,no,no,amelanchier grandiflora-autumnbrilliance,-31,180
501,Autumn Brilliance serviceberry,3,2018-07-08,local,106,TRUE,amelanchier_grandiflora-autumnbrilliance_501.csv,no,no,amelanchier grandiflora-autumnbrilliance,-31,180
501,red columbine,3,2018-07-08,local,26,TRUE,aquilegia_canadensis_501.csv,no,no,aquilegia canadensis,-31,180
371,greenleaf manzanita,3,2018-07-08,local,60,TRUE,arctostaphylos_patula_371.csv,no,no,arctostaphylos patula,-31,180
501,greenleaf manzanita,3,2018-07-08,local,63,TRUE,arctostaphylos_patula_501.csv,no,no,arctostaphylos patula,-31,180
371,kinnikinnick,3,2018-07-08,local,56,TRUE,arctostaphylos_uva-ursi_371.csv,no,no,arctostaphylos uva-ursi,-31,180
501,kinnikinnick,3,2018-07-08,local,52,TRUE,arctostaphylos_uva-ursi_501.csv,no,no,arctostaphylos uva-ursi,-31,180
501,coastal sagebrush,3,2018-07-08,local,6,TRUE,artemisia_californica_501.csv,no,no,artemisia californica,-31,180
501,big sagebrush,3,2018-07-08,local,22,TRUE,artemisia_tridentata_501.csv,no,no,artemisia tridentata,180,320
501,common milkweed,3,2018-07-08,local,162,TRUE,asclepias_syriaca_501.csv,no,no,asclepias syriaca,-31,180
501,butterfly milkweed,3,2018-07-08,local,33,TRUE,asclepias_tuberosa_501.csv,no,no,asclepias tuberosa,-31,180
501,fourwing saltbush,3,2018-07-08,local,21,TRUE,atriplex_canescens_501.csv,no,no,atriplex canescens,-31,180
501,coyotebrush,3,2018-07-08,local,263,TRUE,baccharis_pilularis_501.csv,no,no,baccharis pilularis,180,320
371,yellow birch,3,2018-07-08,local,165,TRUE,betula_alleghaniensis_371.csv,no,no,betula alleghaniensis,-31,180
501,yellow birch,3,2018-07-08,local,90,TRUE,betula_alleghaniensis_501.csv,no,no,betula alleghaniensis,-31,180
498,yellow birch,3,2018-07-08,local,146,TRUE,betula_alleghaniensis_498.csv,no,no,betula alleghaniensis,180,320
501,sweet birch,3,2018-07-08,local,28,TRUE,betula_lenta_501.csv,no,no,betula lenta,-31,180
371,sweet birch,3,2018-07-08,local,92,TRUE,betula_lenta_371.csv,no,no,betula lenta,-31,180
498,sweet birch,3,2018-07-08,local,88,TRUE,betula_lenta_498.csv,no,no,betula lenta,180,320
371,river birch,3,2018-07-08,local,22,TRUE,betula_nigra_371.csv,no,no,betula nigra,-31,180
501,river birch,3,2018-07-08,local,16,TRUE,betula_nigra_501.csv,no,no,betula nigra,-31,180
371,paper birch,3,2018-07-08,local,144,TRUE,betula_papyrifera_371.csv,no,no,betula papyrifera,-31,180
501,paper birch,3,2018-07-08,local,60,TRUE,betula_papyrifera_501.csv,no,no,betula papyrifera,-31,180
498,paper birch,3,2018-07-08,local,92,TRUE,betula_papyrifera_498.csv,no,no,betula papyrifera,180,320
501,yellow marsh marigold,3,2018-07-08,local,61,TRUE,caltha_palustris_501.csv,no,no,caltha palustris,-31,180
501,cutleaf toothwort,3,2018-07-08,local,5,TRUE,cardamine_concatenata_501.csv,no,no,cardamine concatenata,-31,180
501,saguaro,3,2018-07-08,local,38,TRUE,carnegiea_gigantea_501.csv,no,no,carnegiea gigantea,-31,180
371,American hornbeam,3,2018-07-08,local,67,TRUE,carpinus_caroliniana_371.csv,no,no,carpinus caroliniana,-31,180
501,American hornbeam,3,2018-07-08,local,24,TRUE,carpinus_caroliniana_501.csv,no,no,carpinus caroliniana,-31,180
498,American hornbeam,3,2018-07-08,local,65,TRUE,carpinus_caroliniana_498.csv,no,no,carpinus caroliniana,180,320
371,pignut hickory,3,2018-07-08,local,30,TRUE,carya_glabra_371.csv,no,no,carya glabra,-31,180
501,pignut hickory,3,2018-07-08,local,24,TRUE,carya_glabra_501.csv,no,no,carya glabra,-31,180
498,pignut hickory,3,2018-07-08,local,34,TRUE,carya_glabra_498.csv,no,no,carya glabra,180,320
371,pecan,3,2018-07-08,local,30,TRUE,carya_illinoinensis_371.csv,no,no,carya illinoinensis,-31,180
371,common hackberry,3,2018-07-08,local,76,TRUE,celtis_occidentalis_371.csv,no,no,celtis occidentalis,-31,180
371,common buttonbush,3,2018-07-08,local,32,TRUE,cephalanthus_occidentalis_371.csv,no,no,cephalanthus occidentalis,-31,180
501,common buttonbush,3,2018-07-08,local,23,TRUE,cephalanthus_occidentalis_501.csv,no,no,cephalanthus occidentalis,-31,180
371,eastern redbud,3,2018-07-08,local,195,TRUE,cercis_canadensis_371.csv,no,no,cercis canadensis,-31,180
501,eastern redbud,3,2018-07-08,local,187,TRUE,cercis_canadensis_501.csv,no,no,cercis canadensis,-31,180
498,eastern redbud,3,2018-07-08,local,84,TRUE,cercis_canadensis_498.csv,no,no,cercis canadensis,180,320
371,leatherleaf,3,2018-07-08,local,23,TRUE,chamaedaphne_calyculata_371.csv,no,no,chamaedaphne calyculata,-31,180
501,leatherleaf,3,2018-07-08,local,36,TRUE,chamaedaphne_calyculata_501.csv,no,no,chamaedaphne calyculata,-31,180
501,desert willow,3,2018-07-08,local,31,TRUE,chilopsis_linearis_501.csv,no,no,chilopsis linearis,-31,180
501,Virginia springbeauty,3,2018-07-08,local,44,TRUE,claytonia_virginica_501.csv,no,no,claytonia virginica,-31,180
501,bluebead,3,2018-07-08,local,83,TRUE,clintonia_borealis_501.csv,no,no,clintonia borealis,-31,180
501,blackbrush,3,2018-07-08,local,58,TRUE,coleogyne_ramosissima_501.csv,no,no,coleogyne ramosissima,-31,180
501,bunchberry dogwood,3,2018-07-08,local,81,TRUE,cornus_canadensis_501.csv,no,no,cornus canadensis,-31,180
371,flowering dogwood,3,2018-07-08,local,297,TRUE,cornus_florida_371.csv,no,no,cornus florida,-31,180
501,flowering dogwood,3,2018-07-08,local,330,TRUE,cornus_florida_501.csv,no,no,cornus florida,-31,180
498,flowering dogwood,3,2018-07-08,local,156,TRUE,cornus_florida_498.csv,no,no,cornus florida,180,320
371,Appalachian Spring dogwood,3,2018-07-08,local,130,TRUE,cornus_florida-appalachianspring_371.csv,no,no,cornus florida-appalachianspring,-31,180
501,Appalachian Spring dogwood,3,2018-07-08,local,29,TRUE,cornus_florida-appalachianspring_501.csv,no,no,cornus florida-appalachianspring,-31,180
498,Appalachian Spring dogwood,3,2018-07-08,local,65,TRUE,cornus_florida-appalachianspring_498.csv,no,no,cornus florida-appalachianspring,180,320
371,gray dogwood,3,2018-07-08,local,13,TRUE,cornus_racemosa_371.csv,no,no,cornus racemosa,-31,180
